employee_ID,Role,Experience Years,ai_tool_usage_hours_per_week,tasks_automated_percent,manual_work_hours_per_week,learning_time_hours_per_week,deadline_pressure_level,meeting_hours_per_week,collaboration_hours_per_week,error_rate_percent,task_complexity_score,focus_hours_per_day,work_life_balance_score,burnout_risk_score
33661492-8209-42b0-8ec9-24ea6f842413,Writer,3,17,17.6,37.8,9.6,High,10.3,16.4,2.12,7,4.7,6.1,3.42
449493e8-c31f-4a56-be72-3248e7c25fd7,Designer,17,19.4,56.9,19.2,2.7,Low,19.9,5.2,0.11,7,3.3,1.1,5.21
5b38b140-8136-43e8-8921-77f12109e8eb,Analyst,2,11.2,36,10.5,1.4,Low,3.3,7.6,3.32,10,5.6,9.8,3.6
c9e2bfae-0133-46bd-ac60-efd943ee282d,Manager,13,8.1,30.5,11.4,8.2,High,13.1,2.1,2.22,3,3.3,3,5.8
ed972340-1786-419c-8fa7-9c0c789f0a7c,Developer,9,18,39.9,20.9,1,Low,2.7,6.3,1.38,3,5,5.6,6.7
13b6d694-8a5f-4fae-bbc0-51715db014ea,Manager,9,4.9,14.7,24.9,1,Medium,17.5,12.7,2.91,3,1,2.7,10
75efcb43-9722-4f3b-9d59-f3a0c24421f0,DEVELOPER,17,17.4,64.7,23.3,1.9,Medium,12.8,14.4,2.13,9,7.7,4.4,9.47
6242a849-d24c-4006-8b60-ddde4bd88b23,Designer,18,6.6,24.5,22.7,0.5,Medium,7.2,9.5,3.4,6,3.9,5.4,8.49
186efe96-cd5e-48aa-8d8b-33253bb0c159,Designer,18,6.9,21,29.5,3.2,Medium,1,8.4,2.1,10,6.5,5.2,8.64
3b1c6f7c-eb59-4230-81a2-5e913a559ddd,Designer,13,4.3,17.7,21.4,3.6,High,8.2,9.3,0.1,9,2.3,4.5,10
4a812d1a-2a63-43aa-9a9f-385522fb784c,Developer,5,13.2,36.5,28.3,2.3,Low,4,4.9,0.46,4,5.8,4.6,7.43
a5abbaf0-ec62-4c92-8d67-678ae9616e19,Designer,17,8.3,25.7,25.9,1.9,High,3.7,11.1,0.6,2,5.7,3.5,10
19a95c16-ea02-46ad-a434-6223bb2c2973,Developer,3,11.7,32.1,18.4,1.6,High,4.8,2.9,2.12,4,2.9,4.3,10
69f7e670-3460-4f8b-941b-c60f163903ff,Designer,10,7.5,19.2,24.5,2.6,High,1,4.2,1.5,5,6,4.8,10
8199ff67-1720-45d1-a74f-5ffe4cdb0013,Marketer,6,17,67.1,32.6,4.3,Medium,1.6,3.2,4.19,7,3.9,8.9,5.35
631538dc-d7ae-487b-ab82-d5cdf2956474,Manager,1,,13.8,19.7,9.3,Low,4.6,7.1,4.99,6,6.6,4.2,9.02
36c35ef5-2992-417f-a2a6-72c74c072aa3,Marketer,8,2,4.2,24.2,3,High,3.4,6.4,3.26,2,7,5.6,9.98
50cd246c-2120-4b54-b6b2-9ebb46e18c78,Developer,19,8,22.8,22,3.3,Medium,9.3,10.3,1.2,2,5.2,4.7,9.01
f6d15437-d14c-4361-a2c4-b5468f4ffd7e,Marketer,3,17.3,47.2,12.5,2,Low,8.4,14.2,4.21,8,3.7,6.4,6.09
1953a74a-6c89-41bf-a1a4-d04687104880,Manager,10,0,9.7,42.8,0.2,Medium,14.5,8.5,0.96,4,3.2,1,10
05344238-6e2a-4c57-a5cb-001f13469997,Writer,2,16,40,26.3,9,Low,10.6,15.9,1.6,6,5.1,2.4,1.65
46f47f27-2d8b-4687-bb30-63813570785f,Designer,15,0.4,1.6,42.6,1.4,High,5.8,9.9,0.1,2,3.6,1,10
fdd0f17c-7882-4e81-9718-abb1a335a575,Marketer,16,14.5,34.8,17.2,1.7,Low,5.5,4.4,0.64,5,4.5,6.7,5.88
15d7061b-567b-4b6c-b912-b0ae5ba3040f,Analyst,12,8.1,18.5,24.3,2.6,Low,7.4,5.2,0.34,3,4.5,6.1,6.34
10feef62-7eb7-4ef4-8c9a-fa2994b4e893,Analyst,17,24.9,73.2,17.4,6.3,high,7.4,14.4,3.05,3,2,4.6,5.93
c7e7f7a9-a7a6-4959-a0e2-353a2e312ea8,Manager,11,3.9,8.4,24.6,1,High,12.7,11.6,3.63,4,4.6,2.7,10
7436ef3c-d4b0-411c-9f37-9c0a960fbb05,Analyst,16,11.8,36.5,19.2,0.6,High,1,6.9,1.99,7,6.2,5,10
721c70c6-1c48-4b13-aa83-f48835746ff0,Developer,17,24,55.8,18.9,1.7,Low,8.3,8.9,2.53,3,5.2,3.2,8.47
23ab69e7-d5a2-49d7-97c9-e632ff2028fc,Manager,18,6.1,12.8,32.2,0.6,Low,22.5,18,1.91,9,3.3,1,10
5ef8b11f-96f0-4f0c-9bc1-9ba36caff653,Analyst,7,14.2,33.9,18.3,5.1,Medium,9.7,12.2,0.33,10,3.1,3.9,9.58
6fcab55b-a9a4-4e82-9219-956ad31cfbfb,Writer,4,23.6,66.2,11.5,0.8,High,1,2.7,2.56,8,4.9,4,10
cab4dce3-ae6f-4911-afb7-f9b7522517f8,Manager,12,6.6,13,27.8,0.8,High,10,9.7,4.56,1,3.5,1.9,10
2568bb22-0d80-41dc-80fd-671df6eb3158,Developer,20,17.3,52.2,10,1.6,High,1.1,6.8,3.99,3,6.2,5.9,9.75
a57eb99a-1f9f-4091-a1ba-7f266f6b31a2,Marketer,15,12.5,40.1,20.1,3.6,Medium,6.5,7,0.1,1,4.8,4.7,9
5d0c0641-30dc-4747-9308-b4577e2a2da8,Analyst,13,16.3,42.6,21.7,2.5,Medium,13.3,12,0.51,5,7.1,4.6,5.01
e3dc13b1-10a1-4139-8ef4-59738d10093f,Designer,6,6.4,18.4,24.2,1.8,Medium,1.5,3.4,0.1,10,6.7,6.5,7.68
9c9a6aa9-62a6-427a-8c49-53e8f749ad5d,Developer,4,9.3,17.4,19.5,4.2,Medium,6.9,9.2,0.31,6,5,5.6,8.34
fcdcaf53-2f07-4a54-b973-20a475dd6f67,Developer,7,14,26.1,28.6,2.3,Medium,6,8.9,3.02,7,5.1,2.3,10
8d4bf584-3d8f-4394-9615-bd161688ce93,Manager,14,7.5,13.6,21.9,0.4,Medium,12.2,9.3,2.91,10,3.8,4.1,9.45
0f8bbf76-088e-4e33-a60c-dd00e09eb8d0,Designer,4,10.9,79.3,29.4,6.4,Medium,19.7,1.9,3.46,4,5.2,5.7,4.68
437c27aa-fdb2-40e8-8670-0661feb2557c,Developer,7,10.9,29,24,1.5,Medium,1,5.7,2.18,2,6.3,5.5,8.4
825c71a4-d8e9-4b19-9fdc-350e4611c5c1,Designer,3,4.1,8.6,25.6,1.7,Medium,1,5.6,2.66,3,5.7,6.8,7.44
e5dc75a4-fe83-4675-bd9b-e837d3cb0c93,Manager,14,5.5,18.3,28,1.4,High,9,10.2,1.29,9,4.9,2.4,10
ceeaff79-6b62-4b38-8485-0ea523758ffa,Analyst,9,14.7,31.7,11.3,1.1,Low,6.9,7.8,1.61,4,4,7.8,5.07
25de8663-a9f8-4e7f-bbbe-20c69a2a16e9,Designer,19,0,0,25.5,0.2,Medium,1.7,4.6,4.6,7,4.8,7.7,6.78
36387bce-516e-4a1b-b7fb-4b6d3aa18860,Developer,8,17.1,41.8,24.2,6.2,Medium,7.1,6.5,0.1,7,5.5,2.4,10
3ff37740-a294-4050-b225-c5a9a00a15bb,Manager,17,14,63.6,25.9,4.5,High,4.8,13.9,4.21,5,1.6,6.3,1.65
191f9929-533d-4cfe-8cf4-d89cc3f303ba,Designer,14,5.6,11.7,24.9,4.5,High,4.1,7.4,1.66,10,4,4.4,10
acdfa221-0bb6-41d0-9ef3-6266120f3c72,Developer,7,19.7,54,14.7,2.3,Low,4.8,8.5,1.07,8,5.1,6.2,6.25
ed2ba39a-eed5-4e52-be31-79d547684e24,Analyst,8,9.4,23.1,16.4,0.4,Medium,2,7.5,1.09,7,7.4,7.6,6.87
b49bec75-6526-410e-9664-a8d9535bc2fa,Developer,6,20,59.8,10,1.8,High,8.4,10.4,1.04,6,3.2,3.4,10
98d73699-db63-437b-a1af-5610dff944e3,Writer,17,18.9,42.2,16.9,0.3,Low,7.1,10.6,1.88,5,6.6,5.3,6.92
6acd824b-b739-4164-8ea2-0f6cda1e7963,Developer,14,17.6,40.2,25.8,6,Low,1,2.4,1.92,8,6.8,4.9,7.21
15f78d76-92c5-4788-85ab-d448d5c386a3,Marketer,7,11.2,26.6,14.4,2.5,Medium,9.3,6.8,3.42,7,4.8,5.8,8.19
c7b7285c-535e-4ae6-a1fe-21c70a36ea6c,Writer,7,15,39.1,17.3,0.4,Medium,6.9,9.1,5.74,10,4.8,4.7,9
20729f73-2e66-4da7-8383-8b458981f0a0,Designer,1,1.1,1.1,36,1.5,Medium,6.3,7.2,3.22,4,5.4,3.6,9.8
866446d2-62d8-4bc8-b9c7-ee0aa95d4ebe,Designer,7,7,16,29.1,1.5,Low,1.2,6.9,4.26,3,3.1,6.7,5.89
58a7e839-3388-4b5b-9f54-14d5edc4d268,Writer,2,7.7,14.5,39.3,1.3,Medium,4.4,11.1,4.43,6,5.2,1.7,10
aea9efb1-1954-43d1-9600-b05573df1e8a,Designer,18,1.9,0,32.9,3.1,Low,10.4,11.7,2.99,4,1.6,4.7,7.36
6f93c923-6da9-403c-9619-747e28d95c21,Marketer,4,9,17,28.8,3.2,High,7.1,11.5,3.52,4,4.7,1.8,10
558e680c-cc93-44da-92cb-1aae1336408e,Analyst,13,7.8,18.3,29.7,0.7,Medium,3.3,4.9,4.64,7,4.5,4.3,9.3
8a78b598-e56b-4ac7-b569-210354c54274,Writer,4,14.8,63.9,20.9,8,Medium,19.6,9.9,1.15,8,8,2.9,5.2
91bb744b-5fbd-40cf-94fc-bfa7e63b4eae,Analyst,1,5,21.7,25.4,0.4,High,7.5,6.4,5.08,4,7.3,3.5,10
fdcaa026-5aea-4790-becb-e2533d3b47c6,Developer,1,15.3,35.1,19,0.8,Medium,8,9.8,2.12,2,4.3,3.9,9.59
27435c2b-6725-4137-a940-f9795ad6aef9,Analyst,16,7.5,24.2,13.3,4.3,HIGH,12.5,17.8,3.21,3,6.5,4.7,2.08
1ea62f5f-c639-45cd-b98a-9ba7fb44b055,Developer,11,0.7,47.1,27.3,5.9,Medium,11.4,4.7,1.26,2,7.2,1.2,9.34
5dc9c980-876f-4037-98ae-cee61e662208,Manager,2,6,20.8,20.7,4,High,12.4,10.5,1.49,1,4.8,3.2,10
a08696af-f7d4-436c-a0f7-2cbc663b24f3,Analyst,14,13.7,25.1,18.1,0.7,Low,4.9,3.8,1.99,9,6.2,6.8,5.8
c3401fcf-1d47-499d-8be5-f4ec7233595a,Writer,11,13.2,36,27.6,1.6,Medium,2.9,6.3,3.63,8,4.9,3.6,9.82
59af4eac-a9d7-4eaf-852e-2bc926ee633e,Developer,5,18.5,50,21.4,2.5,Low,4.4,8.6,0.96,2,4.1,4.9,7.21
3112d467-2371-4526-a603-1e44e759a4fa,Developer,14,4.4,15.8,21.3,7.9,High,13.6,16.9,1.8,5,7.8,5.2,6.19
bc106254-f0f2-47f3-83ab-fe9b109bd028,,13,16.6,73.9,28.5,2.7,Medium,18.3,6.1,4.43,3,3.3,7,8.9
b8130b4d-e89c-4cd4-9ed2-af711a05704f,Designer,6,20.4,41.9,21,6.1,Low,15.2,1.9,2.81,1,3.9,2,2.17
218fd048-567c-45f3-abd6-ca0c92b9578a,Designer,13,2.9,5.9,27.6,5.4,Low,5.9,6.2,0.1,5,4.7,6.9,5.73
ada7cfcb-4df6-405f-82da-1a2a6c672bb7,Designer,5,3.7,13.9,27.8,2.6,High,2.8,5.3,3.53,6,7.2,4.4,10
1bb2546b-e5e0-4ed8-8e64-8a18f8094515,Marketer,16,9.7,20.6,24,0.4,Low,4.9,9.9,2.68,8,4.1,6.4,6.12
f070ad08-bd47-4a8b-a0df-f3174288a6af,Manager,14,4.7,11,25.4,1.3,Medium,9.4,9.7,3.29,10,4.6,4.6,9.07
47a8fae7-159d-4d0b-9a0e-f3c299fbbd99,Marketer,6,15.3,14.6,36.4,5.8,High,10.9,1.5,0.84,8,2.2,5.1,7.55
577cab21-7f97-4ee6-b551-094ef6c7b0b3,Developer,5,10,51.1,24.9,0.6,Medium,19.3,17.7,2.59,9,2.8,2.8,3.49
da3ef8cb-376b-4ea6-9c08-ff6f26b8e331,Marketer,7,18.5,51.8,18,0.1,High,7.8,9.1,2.67,3,3.2,1.9,10
614533db-3736-4eee-b16c-b5151b71f0fb,Manager,15,4.3,9.6,29.5,2.9,Medium,11.9,10.9,0.1,2,3.1,3.1,10
5f6528fb-d1b1-46f7-b5cc-eaa9b9e26679,Developer,12,23.1,58.7,12.9,1.8,Medium,1,4.3,2.87,7,5.5,5.2,8.62
84639a21-f21e-4c19-9ad5-172c52c2289d,Marketer,20,10.7,21.5,30.1,1,Medium,5.9,8.7,3.95,4,5.8,2.8,10
9123ddc2-eea1-48d0-b196-c049db080494,Analyst,13,7.7,10.9,29.1,1.7,Medium,6.2,10.1,1.74,1,4,3.7,9.73
a6cc5aaf-dd87-4f7a-9c4e-cc4a8ff1944c,Designer,17,22.1,43.2,21.9,1.3,Medium,12,10.6,2.57,6,7.4,8.1,4.27
651a658b-6406-4686-adea-4c060f5d1605,Developer,6,10.6,22.3,21.9,0.4,Medium,6.8,9.9,3.67,6,4.9,4.7,9.01
59e040e5-5b4a-4113-9030-5912ee8b9f94,Manager,3,5.1,17.8,14.9,1.5,Medium,21,15.7,0.35,9,2.7,4.2,9.36
de581cde-5ad5-47af-8bca-898e2c0b28c2,Manager,6,5.2,9,24.4,1.4,High,13.1,12.1,0.1,3,2.7,2.3,10
0c8ebd38-7ad6-4f40-afb7-755bee9b69c6,Analyst,6,11.3,28.6,25,0.5,High,5.9,6.5,0.56,10,6.1,2.5,10
ccc286e5-bd24-49c3-945c-34793d4ecff1,Developer,5,6.6,13,18.4,2.5,Low,7.2,6.5,0.27,8,4.2,8,4.93
f12f3ddc-d00e-48b6-b830-4ae38967c56c,Writer,16,25,39.7,32.1,2.4,Medium,16.4,13.2,3.87,7,2.2,4.7,9.04
fa63b447-e80e-440e-88ca-2466647bdfc6,,2,,77.5,18.1,4.2,High,16.2,8.9,2.01,10,7.6,8,2.84
1b120e16-c241-43ba-97e6-b987fbf97974,Marketer,18,10.7,19.5,25.5,2.7,Low,7.3,8.4,0.99,1,5.8,5.1,7.06
6e9c430e-4c67-4614-949d-2a5dc06999bc,Writer,20,22.6,54.6,17.9,4.2,Low,3.9,2.4,0.1,1,6.3,4.9,7.21
291e93a3-8da6-4761-9b70-f424719eab72,Developer,15,16.2,28,23.5,1.4,Low,6.3,10.9,2.19,10,6,4.5,7.51
36623486-00c5-4ec7-8078-3c598aabc776,Developer,3,10.9,19.8,25.6,3.7,Low,4.8,10,0.1,1,4.3,5.7,6.63
062d3240-c61d-4dfc-960e-f4c550bee96b,Analyst,12,10.2,24.1,27.1,0.8,High,7.9,7.2,4.57,10,3.2,1.7,10
14d9dee0-f5d1-4aab-91e0-dd6cbe21da30,Developer,13,11.4,28.3,22.2,3.7,Low,7.6,11.3,1.09,3,5.1,5.7,6.62
774844d8-636e-4a33-a7c2-10b8087c7cfc,Marketer,18,15,32.2,18.2,0.6,High,1.7,2,4.36,3,3.4,4.3,10
ab55586d-ea78-47c7-8abc-ba35fc089338,Developer,2,7.7,25.7,16.3,2.2,High,5.9,5.6,0.96,4,5.2,5.5,10
3deb05f5-4d03-4c59-aaf6-d086a2c13bae,Analyst,15,14.3,36.5,17.2,1.7,High,5.4,5.4,1.58,2,6.3,3.8,10
c0d31625-48c3-4544-90b6-4cb9c8e3aede,Writer,14,12.9,34.4,21.9,3.6,High,6.2,7.3,0.1,2,3.8,2.8,10
119ce575-34c4-43a7-afb2-59eab3cf97dd,Developer,5,18,36.2,20.3,1,Low,2.8,5.9,1.72,10,5,5.7,6.62
1a2d0f4a-4b8b-4258-a9e7-2b2e7c981c6b,Designer,7,9.6,27.5,16.6,2,High,7.4,8.5,2.57,7,5.1,4.6,10
81f910bd-ffc1-4799-ad05-af05c4190a20,Manager,17,10.1,31.2,24.6,3.1,Medium,16.9,12.9,0.83,7,2,1.6,10
aff63a01-33d4-4fb5-85d3-cb360146bd70,Developer,20,9.4,18.9,31.7,1,Medium,6.2,7.7,0.55,10,5.6,2.7,10
70465561-5603-48f9-ba37-c3ee64e5f80e,Writer,4,19,46.2,19.1,2.4,Medium,7.2,6.6,0.59,1,4.6,3.2,10
2cf983e8-90c2-4d8e-bc78-c6a8461f3b9c,Analyst,7,9,17.8,17.4,1,Medium,10,10,4.85,9,4.2,5.4,8.48
ec40365f-1cec-407d-ad62-674d792fb293,Designer,2,0,0,25.9,1.6,Medium,1.2,4.2,0.1,4,5,7.7,6.78
de3248c4-29bb-4234-ad10-fde8b70a3d86,Analyst,11,7.8,24.1,17,4.1,High,1,3.3,0.1,2,6,6.6,9.25
003d34ab-c8ba-46c1-8e2b-4a27ce534018,Developer,2,14.4,33,32.2,0.7,High,2.7,6.6,4.95,4,3.9,1,10
14f4ed19-29c4-4f8a-acba-02175e0806e0,Analyst,3,10.3,25.9,21.3,0.4,Medium,4.3,8.8,5.24,8,6.8,5.5,8.4
5a82f530-2530-4259-a094-61d4a4f0d54c,Analyst,6,5.6,12.9,25.2,1.4,Medium,8.9,8.1,1.71,1,4,4.6,9.08
59d574d0-6992-4788-ac58-991bc696249f,Writer,10,7.3,36.6,33,1.2,Low,11.3,3.4,1.95,1,5.9,4.8,6.51
91268d47-3442-4ee3-87f8-dfe52f2bf5c5,Designer,19,4.8,10.4,28.6,1.4,High,6.9,9.2,1.99,7,3.8,2.9,10
c43fb18a-3781-47b9-bb8d-ea61fa19df1b,Designer,4,1,0.4,22.8,1,Medium,5.2,7.8,2.31,1,5,7.2,7.14
ac12182e-f681-4963-84f3-9a73c251bfab,Developer,4,13.8,31.4,26.8,3.3,Medium,1,4.2,0.1,7,7.1,4.1,9.45
60d0ee37-e70b-4c88-b966-306055c7877c,Designer,17,7.6,24.7,18.1,3,Medium,2.9,4.1,0.1,8,5.6,7.4,7.02
51acb1a7-175f-42cf-80d5-a06cd66f10f1,Designer,10,4.4,8.5,42.1,3.7,High,1,6.5,0.96,2,6.3,1.1,10
e42d5d60-0826-4e0b-9e73-ce542844d94e,Marketer,1,2.8,28.2,29.3,6.7,High,8.1,19.4,1.61,1,6,7.1,4.79
b9d3516a-aef6-4f96-9381-db2cb7dac2eb,Marketer,11,8.9,41.7,13.1,4.9,Medium,19,14.3,0.11,4,2,2.1,8.46
978d8eca-ef45-4bae-ae9b-5e2cca04576d,Analyst,7,17.1,45.8,16.2,0.5,High,4.8,8.4,3.12,1,5.8,3.5,10
7d2110f6-e007-4158-85c4-cdba119b8f51,Manager,10,4,4,31.4,0.2,Medium,3.3,3.5,3.43,1,6.2,4.8,8.92
ccba03ca-d1ac-44cd-a425-c424f399ac18,Designer,18,3.9,7,22,0.5,High,7.6,7.9,3.74,8,5.3,4.6,10
e36cfc45-5891-48e1-980b-62e75b9c00e4,Analyst,5,13.6,35.4,15.4,1.3,Low,1.8,4.5,2.79,6,6.9,8.3,4.7
88e7bc9f-8c95-4918-a253-4ec30ce6800c,Analyst,6,11.4,24.3,17,0.3,Low,5.8,5.7,3.82,8,4.2,7.5,5.3
75f481bd-80f7-48d7-a4ea-d3fc15951ad3,Analyst,4,6,6.5,19.2,1.8,Low,1,5.2,0.88,2,4.8,9.4,3.87
80436378-c9c3-4bd4-9f41-edd3c65541ce,Writer,7,16.4,43.7,27.3,1.6,High,1,2,0.63,7,6.2,1.8,10
24bc9500-7e25-479e-9848-23ee392e93f6,Analyst,19,15,24.3,19.3,5.1,Medium,4.3,6.3,0.1,3,5.3,4.9,8.87
776f682b-d983-4e95-8158-f04b6e0a1a04,Manager,18,5,3.3,29.5,1.3,Low,21,18.1,0.1,6,1.3,2.1,9.28
34c26098-3b3b-4ac2-91fa-beb6b19cc185,Analyst,10,10.8,29.3,16.2,0.4,High,7.5,8.6,1.86,1,3.6,4.4,10
9aa11567-0960-49c9-94f7-cc497486daff,Developer,5,25.4,56.4,10,0.7,High,9,8.7,1.73,9,4.7,1.9,10
aa69f59a-e5e6-4ee8-ac53-1b07a19a2dbb,Analyst,4,13.2,54.7,37.6,3.6,High,5,18.3,0.38,1,3.6,1.6,9.07
d9b6c566-179f-482e-8f01-40a484d02975,Manager,10,0,2.5,27.9,0.8,Low,19.1,11.6,2.39,1,2.1,4.2,7.72
6b59f76f-c1f9-48df-8dd0-60741ac96d59,Manager,4,5.7,15.4,24.6,2.8,Low,18.7,15.3,1.19,8,1.9,3.8,8.04
2e9ea7b2-4f21-41c2-9081-531551fea608,Marketer,5,5.4,17.1,30.2,1.5,Low,6.6,3.4,4.48,9,1.8,9.5,5.98
20ac0663-fcc2-4603-9748-f8c895602eba,Manager,18,2,5.5,19.7,0.1,High,9.2,5.3,0.95,4,5.7,5.3,10
9fd2ca85-38df-4cad-bc5e-182db3c32318,Manager,18,3.8,10.6,18.6,1.2,Medium,10.3,7.1,3.19,4,5,6.3,7.81
411d73de-6671-4bfe-9f09-c2091c8c2723,Designer,19,5.9,6.6,31.5,2.1,High,7.1,8.5,1.14,5,5.5,1.9,10
fdfa8cad-4dd2-4b59-b25d-67864bb6e69f,Marketer,11,9,19.2,13.3,2.3,Low,6.2,5.7,3.65,5,4.8,8.9,4.26
022c36a7-0c76-4c82-9922-8f88f0d5e665,Writer,5,7.6,12.1,28.2,6.9,High,5.3,9.7,0.1,1,6.3,2.7,10
ddc62513-1a3a-4b4a-9a26-fa4628dab0b1,Writer,16,22.6,61.8,10,1.9,Medium,9.1,8.7,3.62,8,3.7,4.1,9.45
ab78289e-d7cd-49c1-ba6e-b201a24d692a,Developer,19,16.9,55.2,10.6,0.9,Low,10,6.1,3.66,6,4.4,6.6,5.95
4cfb0063-6d93-4763-a0fb-b6d0801542a8,Designer,3,3.7,15.8,24.4,1.2,Medium,5.7,5.5,0.1,6,4.9,6.1,7.98
23f0bc9b-4a5b-431f-be43-7005ff514c65,Designer,13,0.5,8,27.2,2,Low,4,6.4,3.63,10,5.8,8.1,4.85
8ee76f78-28a5-4aa1-8b9c-ced139c9294f,Marketer,11,2.5,11.4,23.9,1.5,Low,3.4,7.6,0.42,2,5.7,8.6,4.49
ec4a1c72-9513-4a30-b4f6-c1951478fcad,Analyst,9,12.1,27.6,27.3,1.7,High,7,7.5,2.78,2,4,1.4,10
c69c538f-d474-4bd2-b748-b0aad9aea398,marketer,17,16.3,48.1,10.8,4.3,MEDIUM,16.5,14.6,1.74,4,3.2,4.4,3.52
8f1e1883-a275-4b6d-a81f-9ef8b7e446b1,Developer,16,13.5,36.2,14.7,3.3,Low,7.3,8.4,2.61,10,3.3,7.1,5.58
0506b423-3173-4589-83e2-d789e0323df7,Analyst,7,15.5,34.2,21.5,2,High,5.6,8.6,4.02,10,4.9,2.3,10
0ebc62bb-5a37-4d31-abbb-e005af433942,Designer,11,19.2,26.7,23.1,2.8,Low,11.2,18.6,3.84,,6.6,8.8,7.57
