Employee Id,Role,Experience Years ,Ai Tool Usage Hours Per Week,Tasks Automated Percent,Manual Work Hours Per Week,Learning Time Hours Per Week,Deadline Pressure Level,Meeting Hours Per Week,Collaboration Hours Per Week,Error Rate Percent,Task Complexity Score,Focus Hours Per Day,Work Life Balance Score,Burnout Risk Score,Efficiency Leverage,Deep Work Balance,Learning Zone,Employee Health Personal,Sustainability Rating,Performance Sustainability Index,Burnout Level,Experience range,AI Leverage,Employee Persona,Future Risk,Risk Category Column
78550a6a-767f-4c99-8d14-d4fd92a5d746,Developer,15,5.1,14.7,25.4,2.70,Low,6.2,5.90,1.13,3.00,5.80,6.80,5.80,2.88,16.90,Stable,Developing,3.88,49.70,Moderate,12-16,Medium AI,Steady Worker,4.45,Monitor
21738ed0-68af-4e9e-9280-f4e6085ec0a0,Writer,12,6.4,11.4,26.7,0.40,Medium,3.4,9.50,4.66,7.00,7.00,5.40,8.49,1.78,22.10,Risk,Hardworking,0.84,20.98,High,8-12,Medium AI,Struggler,2.79,Stable
8354ef15-4fee-457e-8103-76e493f38e4f,Analyst,1,15.2,44.3,18.1,5.70,Low,6.8,7.10,0.30,2.00,4.90,6.00,6.41,2.91,10.60,Growth,Efficient,10.46,45.47,Moderate,0-4,High AI,Star Performer,4.04,Monitor
82ebd1f4-c3ee-4ed2-ba10-d2303a16e497,Writer,2,6.6,55.7,39.9,0.10,High,3.2,15.30,4.24,4.00,6.50,4.20,7.74,8.44,14.00,Risk,Risky,5.36,109.04,Moderate,0-4,Medium AI,Toxic High Performer,5.31,Critical
897f34a5-56ab-4afc-9f45-ef917a7f87cd,Developer,20,14.4,35.7,15.2,0.50,Medium,8.5,8.70,2.62,3.00,5.20,5.00,8.79,2.48,8.80,Risk,Hardworking,3.41,28.20,High,16-20,High AI,Toxic High Performer,2.85,Stable
70c19269-ecd6-4e3c-814d-087c25b41b4a,Analyst,15,17.7,50.6,10.0,1.10,Low,2.8,8.00,0.10,8.00,7.10,8.40,4.63,2.86,24.70,Risk,Efficient,23.37,61.74,Low,12-16,High AI,Star Performer,5.27,Critical
cafc91f9-1953-4a4a-ba1f-ce5141d75f25,Marketer,8,5.5,8.6,37.5,0.90,Low,8.5,6.70,3.32,2.00,3.60,3.10,8.54,1.56,2.80,Risk,Hardworking,0.79,18.31,High,4-8,Medium AI,Struggler,1.99,Stable
a3e48660-543e-4d75-8134-6daf862b4878,Developer,12,16.3,35.5,11.2,0.80,Low,4.4,7.70,0.40,3.00,6.00,8.00,4.91,2.18,17.90,Risk,Developing,14.14,44.36,Low,8-12,High AI,Star Performer,4.80,Monitor
ab4867f4-a894-4e74-a6cd-d86698b9000a,Writer,11,7.7,11.8,29.1,0.40,High,1.0,5.50,3.20,6.00,4.10,3.50,10.00,1.53,14.00,Risk,Hardworking,0.80,15.32,High,8-12,Medium AI,Struggler,1.66,Stable
716d45d8-a863-4d76-8adc-1323a66ffa2b,Developer,12,15.8,37.6,13.1,0.10,Low,10.2,13.10,4.94,9.00,4.50,6.20,6.25,2.38,-0.80,Risk,Developing,4.87,38.08,Moderate,8-12,High AI,Toxic High Performer,3.94,Monitor
d308d94d-ad14-4f35-8a62-dff2b2fa6d62,Marketer,1,4.9,7.9,18.9,2.70,Medium,2.9,2.60,2.00,9.00,6.80,7.80,6.70,1.61,28.50,Stable,Developing,1.41,24.06,Moderate,0-4,Low AI,Steady Worker,3.97,Monitor
86877874-e049-442b-af5b-ddee16976f8c,Designer,8,2.0,7.8,37.6,4.20,Medium,7.5,9.50,2.81,5.00,3.60,2.70,10.00,3.90,1.00,Stable,Hardworking,0.56,39.00,High,4-8,Low AI,Struggler,2.37,Stable
ed2f4765-5052-4886-a9ac-fd89b71222ba,Developer,1,18.7,37.5,13.6,1.10,Low,2.5,6.10,5.76,1.00,5.60,7.30,5.44,2.01,19.40,Risk,Developing,5.37,36.86,Moderate,0-4,High AI,Toxic High Performer,4.36,Monitor
33661492-8209-42b0-8ec9-24ea6f842413,Writer,3,17.0,17.6,37.8,9.60,High,10.3,16.40,2.12,7.00,4.70,6.10,3.42,1.04,-3.20,Overload,Developing,11.86,30.27,Low,0-4,High AI,Steady Worker,4.22,Monitor
449493e8-c31f-4a56-be72-3248e7c25fd7,Designer,17,19.4,56.9,19.2,2.70,Low,19.9,5.20,0.11,7.00,3.30,1.10,5.21,2.93,-8.60,Stable,Efficient,20.73,56.30,Moderate,16-20,High AI,Star Performer,2.94,Stable
5b38b140-8136-43e8-8921-77f12109e8eb,Analyst,2,11.2,36.0,10.5,1.40,Low,3.3,7.60,3.32,10.00,5.60,9.80,3.60,3.21,17.10,Risk,Developing,18.56,89.29,Low,0-4,Medium AI,Toxic High Performer,6.15,Critical
c9e2bfae-0133-46bd-ac60-efd943ee282d,Manager,13,8.1,30.5,11.4,8.20,High,13.1,2.10,2.22,3.00,3.30,3.00,5.80,3.77,1.30,Growth,Developing,7.05,64.92,Moderate,12-16,Medium AI,Steady Worker,3.67,Monitor
ed972340-1786-419c-8fa7-9c0c789f0a7c,Developer,9,18.0,39.9,20.9,1.00,Low,2.7,6.30,1.38,3.00,5.00,5.60,6.70,2.22,16.00,Risk,Developing,7.66,33.08,Moderate,8-12,High AI,Star Performer,3.56,Monitor
13b6d694-8a5f-4fae-bbc0-51715db014ea,Manager,9,4.9,14.7,24.9,1.00,Medium,17.5,12.70,2.91,3.00,1.00,2.70,10.00,3.00,-25.20,Risk,Hardworking,1.04,30.00,High,8-12,Low AI,Struggler,2.01,Stable
75efcb43-9722-4f3b-9d59-f3a0c24421f0,Developer,17,17.4,64.7,23.3,1.90,Medium,12.8,14.40,2.13,9.00,7.70,4.40,9.47,3.72,11.30,Risk,Risky,5.68,39.26,High,16-20,High AI,Toxic High Performer,2.97,Stable
6242a849-d24c-4006-8b60-ddde4bd88b23,Designer,18,6.6,24.5,22.7,0.50,Medium,7.2,9.50,3.40,6.00,3.90,5.40,8.49,3.71,2.80,Risk,Hardworking,2.24,43.72,High,16-20,Medium AI,Struggler,3.56,Monitor
186efe96-cd5e-48aa-8d8b-33253bb0c159,Designer,18,6.9,21.0,29.5,3.20,Medium,1.0,8.40,2.10,10.00,6.50,5.20,8.64,3.04,23.10,Stable,Hardworking,2.22,35.23,High,16-20,Medium AI,Struggler,3.19,Monitor
3b1c6f7c-eb59-4230-81a2-5e913a559ddd,Designer,13,4.3,17.7,21.4,3.60,High,8.2,9.30,0.10,9.00,2.30,4.50,10.00,4.12,-6.00,Stable,Hardworking,1.75,41.16,High,12-16,Low AI,Struggler,3.00,Stable
4a812d1a-2a63-43aa-9a9f-385522fb784c,Developer,5,13.2,36.5,28.3,2.30,Low,4.0,4.90,0.46,4.00,5.80,4.60,7.43,2.77,20.10,Stable,Hardworking,6.31,37.22,Moderate,4-8,High AI,Star Performer,3.26,Monitor
a5abbaf0-ec62-4c92-8d67-678ae9616e19,Designer,17,8.3,25.7,25.9,1.90,High,3.7,11.10,0.60,2.00,5.70,3.50,10.00,3.10,13.70,Risk,Hardworking,2.42,30.96,High,16-20,Medium AI,Struggler,2.29,Stable
19a95c16-ea02-46ad-a434-6223bb2c2973,Developer,3,11.7,32.1,18.4,1.60,High,4.8,2.90,2.12,4.00,2.90,4.30,10.00,2.74,6.80,Risk,Hardworking,2.53,27.44,High,0-4,Medium AI,Struggler,2.39,Stable
69f7e670-3460-4f8b-941b-c60f163903ff,Designer,10,7.5,19.2,24.5,2.60,High,1.0,4.20,1.50,5.00,6.00,4.80,10.00,2.56,24.80,Stable,Hardworking,1.63,25.60,High,8-12,Medium AI,Struggler,2.46,Stable
8199ff67-1720-45d1-a74f-5ffe4cdb0013,Marketer,6,17.0,67.1,32.6,4.30,Medium,1.6,3.20,4.19,7.00,3.90,8.90,5.35,3.95,14.70,Stable,Risky,13.62,73.78,Moderate,4-8,High AI,Toxic High Performer,5.64,Critical
631538dc-d7ae-487b-ab82-d5cdf2956474,Manager,1,10.1,13.8,19.7,9.30,Low,4.6,7.10,4.99,6.00,6.60,4.20,9.02,1.37,21.30,Overload,Hardworking,0.85,15.15,,0-4,Medium AI,Struggler,2.10,Stable
36c35ef5-2992-417f-a2a6-72c74c072aa3,Marketer,8,2.0,4.2,24.2,3.00,High,3.4,6.40,3.26,2.00,7.00,5.60,9.98,2.10,25.20,Stable,Hardworking,0.28,21.04,High,4-8,Low AI,Struggler,2.53,Stable
50cd246c-2120-4b54-b6b2-9ebb46e18c78,Developer,19,8.0,22.8,22.0,3.30,Medium,9.3,10.30,1.20,2.00,5.20,4.70,9.01,2.85,6.40,Stable,Hardworking,2.47,31.63,High,16-20,Medium AI,Struggler,2.85,Stable
f6d15437-d14c-4361-a2c4-b5468f4ffd7e,Marketer,3,17.3,47.2,12.5,2.00,Low,8.4,14.20,4.21,8.00,3.70,6.40,6.09,2.73,-4.10,Stable,Risky,7.37,44.80,Moderate,0-4,High AI,Toxic High Performer,4.18,Monitor
1953a74a-6c89-41bf-a1a4-d04687104880,Manager,10,0.0,9.7,42.8,0.20,Medium,14.5,8.50,0.96,4.00,3.20,1.00,10.00,0.00,-7.00,Risk,Hardworking,0.88,0.00,High,8-12,Low AI,Struggler,0.30,Stable
05344238-6e2a-4c57-a5cb-001f13469997,Writer,2,16.0,40.0,26.3,9.00,Low,10.6,15.90,1.60,6.00,5.10,2.40,1.65,2.50,-1.00,Growth,Developing,123.42,151.52,Low,0-4,High AI,Star Performer,4.23,Monitor
46f47f27-2d8b-4687-bb30-63813570785f,Designer,15,0.4,1.6,42.6,1.40,High,5.8,9.90,0.10,2.00,3.60,1.00,10.00,4.00,2.30,Risk,Hardworking,0.16,40.00,High,12-16,Low AI,Struggler,1.90,Stable
fdd0f17c-7882-4e81-9718-abb1a335a575,Marketer,16,14.5,34.8,17.2,1.70,Low,5.5,4.40,0.64,5.00,4.50,6.70,5.88,2.40,12.60,Risk,Developing,9.42,40.82,Moderate,12-16,High AI,Steady Worker,4.21,Monitor
15d7061b-567b-4b6c-b912-b0ae5ba3040f,Analyst,12,8.1,18.5,24.3,2.60,Low,7.4,5.20,0.34,3.00,4.50,6.10,6.34,2.28,9.90,Stable,Developing,4.45,36.02,Moderate,8-12,Medium AI,Steady Worker,3.84,Monitor
10feef62-7eb7-4ef4-8c9a-fa2994b4e893,Analyst,17,24.9,73.2,17.4,6.30,High,7.4,14.40,3.05,3.00,2.00,4.60,5.93,2.94,-11.80,Growth,Risky,14.47,49.57,Moderate,16-20,High AI,Toxic High Performer,3.78,Monitor
c7e7f7a9-a7a6-4959-a0e2-353a2e312ea8,Manager,11,3.9,8.4,24.6,1.00,High,12.7,11.60,3.63,4.00,4.60,2.70,10.00,2.15,-1.30,Risk,Hardworking,0.54,21.54,High,8-12,Low AI,Struggler,1.67,Stable
7436ef3c-d4b0-411c-9f37-9c0a960fbb05,Analyst,16,11.8,36.5,19.2,0.60,High,1.0,6.90,1.99,7.00,6.20,5.00,10.00,3.09,23.10,Risk,Hardworking,2.92,30.93,High,12-16,Medium AI,Toxic High Performer,2.74,Stable
721c70c6-1c48-4b13-aa83-f48835746ff0,Developer,17,24.0,55.8,18.9,1.70,Low,8.3,8.90,2.53,3.00,5.20,3.20,8.47,2.33,8.80,Risk,Risky,5.81,27.45,High,16-20,High AI,Toxic High Performer,2.35,Stable
23ab69e7-d5a2-49d7-97c9-e632ff2028fc,Manager,18,6.1,12.8,32.2,0.60,Low,22.5,18.00,1.91,9.00,3.30,1.00,10.00,2.10,-24.00,Risk,Hardworking,1.04,20.98,High,16-20,Medium AI,Struggler,1.14,Stable
5ef8b11f-96f0-4f0c-9bc1-9ba36caff653,Analyst,7,14.2,33.9,18.3,5.10,Medium,9.7,12.20,0.33,10.00,3.10,3.90,9.58,2.39,-6.40,Growth,Hardworking,3.57,24.92,High,4-8,High AI,Struggler,2.25,Stable
6fcab55b-a9a4-4e82-9219-956ad31cfbfb,Writer,4,23.6,66.2,11.5,0.80,High,1.0,2.70,2.56,8.00,4.90,4.00,10.00,2.81,20.80,Risk,Risky,4.93,28.05,High,0-4,High AI,Toxic High Performer,2.32,Stable
cab4dce3-ae6f-4911-afb7-f9b7522517f8,Manager,12,6.6,13.0,27.8,0.80,High,10.0,9.70,4.56,1.00,3.50,1.90,10.00,1.97,-2.20,Risk,Hardworking,0.71,19.70,High,8-12,Medium AI,Struggler,1.36,Stable
2568bb22-0d80-41dc-80fd-671df6eb3158,Developer,20,17.3,52.2,10.0,1.60,High,1.1,6.80,3.99,3.00,6.20,5.90,9.75,3.02,23.10,Risk,Risky,3.30,30.95,High,16-20,High AI,Toxic High Performer,3.05,Monitor
a57eb99a-1f9f-4091-a1ba-7f266f6b31a2,Marketer,15,12.5,40.1,20.1,3.60,Medium,6.5,7.00,0.10,1.00,4.80,4.70,9.00,3.21,10.50,Stable,Efficient,4.90,35.64,High,12-16,High AI,Toxic High Performer,2.99,Stable
5d0c0641-30dc-4747-9308-b4577e2a2da8,Analyst,13,16.3,42.6,21.7,2.50,Medium,13.3,12.00,0.51,5.00,7.10,4.60,5.01,2.61,10.20,Stable,Efficient,16.11,52.17,Moderate,12-16,High AI,Star Performer,3.92,Monitor
e3dc13b1-10a1-4139-8ef4-59738d10093f,Designer,6,6.4,18.4,24.2,1.80,Medium,1.5,3.40,0.10,10.00,6.70,6.50,7.68,2.88,28.60,Risk,Hardworking,3.09,37.43,Moderate,4-8,Medium AI,Steady Worker,3.80,Monitor
9c9a6aa9-62a6-427a-8c49-53e8f749ad5d,Developer,4,9.3,17.4,19.5,4.20,Medium,6.9,9.20,0.31,6.00,5.00,5.60,8.34,1.87,8.90,Stable,Hardworking,2.42,22.43,High,0-4,Medium AI,Struggler,2.93,Stable
fcdcaf53-2f07-4a54-b973-20a475dd6f67,Developer,7,14.0,26.1,28.6,2.30,Medium,6.0,8.90,3.02,7.00,5.10,2.30,10.00,1.86,10.60,Stable,Hardworking,1.82,18.64,High,4-8,High AI,Struggler,1.44,Stable
8d4bf584-3d8f-4394-9615-bd161688ce93,Manager,14,7.5,13.6,21.9,0.40,Medium,12.2,9.30,2.91,10.00,3.80,4.10,9.45,1.81,-2.50,Risk,Hardworking,1.08,19.19,High,12-16,Medium AI,Struggler,2.12,Stable
0f8bbf76-088e-4e33-a60c-dd00e09eb8d0,Designer,4,10.9,79.3,29.4,6.40,Medium,19.7,1.90,3.46,4.00,5.20,5.70,4.68,7.28,4.40,Growth,Risky,23.68,155.45,Low,0-4,Medium AI,Toxic High Performer,6.22,Critical
437c27aa-fdb2-40e8-8670-0661feb2557c,Developer,7,10.9,29.0,24.0,1.50,Medium,1.0,5.70,2.18,2.00,6.30,5.50,8.40,2.66,24.80,Risk,Hardworking,3.21,31.67,,4-8,Medium AI,Struggler,3.19,Monitor
825c71a4-d8e9-4b19-9fdc-350e4611c5c1,Designer,3,4.1,8.6,25.6,1.70,Medium,1.0,5.60,2.66,3.00,5.70,6.80,7.44,2.10,21.90,Risk,Hardworking,1.14,28.19,Moderate,0-4,Low AI,Steady Worker,3.65,Monitor
e5dc75a4-fe83-4675-bd9b-e837d3cb0c93,Manager,14,5.5,18.3,28.0,1.40,High,9.0,10.20,1.29,9.00,4.90,2.40,10.00,3.33,5.30,Risk,Hardworking,1.59,33.27,High,12-16,Medium AI,Struggler,2.05,Stable
ceeaff79-6b62-4b38-8485-0ea523758ffa,Analyst,9,14.7,31.7,11.3,1.10,Low,6.9,7.80,1.61,4.00,4.00,7.80,5.07,2.16,5.30,Risk,Developing,10.35,42.53,Moderate,8-12,High AI,Steady Worker,4.68,Monitor
25de8663-a9f8-4e7f-bbbe-20c69a2a16e9,Designer,19,0.0,0.0,25.5,0.20,Medium,1.7,4.60,4.60,7.00,4.80,7.70,6.78,0.00,17.70,Risk,Developing,0.00,0.00,Moderate,16-20,Low AI,Struggler,3.28,Monitor
36387bce-516e-4a1b-b7fb-4b6d3aa18860,Developer,8,17.1,41.8,24.2,6.20,Medium,7.1,6.50,0.10,7.00,5.50,2.40,10.00,2.44,13.90,Growth,Efficient,4.14,24.44,High,4-8,High AI,Toxic High Performer,1.70,Stable
3ff37740-a294-4050-b225-c5a9a00a15bb,Manager,17,14.0,63.6,25.9,4.50,High,4.8,13.90,4.21,5.00,1.60,6.30,1.65,4.54,-10.70,Stable,Risky,135.26,275.32,Low,16-20,High AI,Toxic High Performer,6.21,Critical
191f9929-533d-4cfe-8cf4-d89cc3f303ba,Designer,14,5.6,11.7,24.9,4.50,High,4.1,7.40,1.66,10.00,4.00,4.40,10.00,2.09,8.50,Stable,Hardworking,0.98,20.89,High,12-16,Medium AI,Struggler,2.16,Stable
acdfa221-0bb6-41d0-9ef3-6266120f3c72,Developer,7,19.7,54.0,14.7,2.30,Low,4.8,8.50,1.07,8.00,5.10,6.20,6.25,2.74,12.20,Stable,Efficient,12.34,43.86,Moderate,4-8,High AI,Star Performer,4.08,Monitor
ed2ba39a-eed5-4e52-be31-79d547684e24,Analyst,8,9.4,23.1,16.4,0.40,Medium,2.0,7.50,1.09,7.00,7.40,7.60,6.87,2.46,27.50,Risk,Developing,4.36,35.77,Moderate,4-8,Medium AI,Steady Worker,4.20,Monitor
b49bec75-6526-410e-9664-a8d9535bc2fa,Developer,6,20.0,59.8,10.0,1.80,High,8.4,10.40,1.04,6.00,3.20,3.40,10.00,2.99,-2.80,Risk,Efficient,5.36,29.90,High,4-8,High AI,Toxic High Performer,2.22,Stable
98d73699-db63-437b-a1af-5610dff944e3,Writer,17,18.9,42.2,16.9,0.30,Low,7.1,10.60,1.88,5.00,6.60,5.30,6.92,2.23,15.30,Risk,Efficient,7.16,32.27,Moderate,16-20,High AI,Star Performer,3.41,Monitor
6acd824b-b739-4164-8ea2-0f6cda1e7963,Developer,14,17.6,40.2,25.8,6.00,Low,1.0,2.40,1.92,8.00,6.80,4.90,7.21,2.28,30.60,Growth,Efficient,6.25,31.68,Moderate,12-16,High AI,Star Performer,3.22,Monitor
15f78d76-92c5-4788-85ab-d448d5c386a3,Marketer,7,11.2,26.6,14.4,2.50,Medium,9.3,6.80,3.42,7.00,4.80,5.80,8.19,2.38,7.90,Stable,Hardworking,2.61,29.00,High,4-8,Medium AI,Struggler,3.23,Monitor
c7b7285c-535e-4ae6-a1fe-21c70a36ea6c,Writer,7,15.0,39.1,17.3,0.40,Medium,6.9,9.10,5.74,10.00,4.80,4.70,9.00,2.61,8.00,Risk,Hardworking,2.06,28.96,High,4-8,High AI,Toxic High Performer,2.75,Stable
20729f73-2e66-4da7-8383-8b458981f0a0,Designer,1,1.1,1.1,36.0,1.50,Medium,6.3,7.20,3.22,4.00,5.40,3.60,9.80,1.00,13.50,Risk,Hardworking,0.08,10.20,High,0-4,Low AI,Struggler,1.54,Stable
866446d2-62d8-4bc8-b9c7-ee0aa95d4ebe,Designer,7,7.0,16.0,29.1,1.50,Low,1.2,6.90,4.26,3.00,3.10,6.70,5.89,2.29,7.40,Risk,Developing,2.65,38.81,Moderate,4-8,Medium AI,Struggler,4.16,Monitor
58a7e839-3388-4b5b-9f54-14d5edc4d268,Writer,2,7.7,14.5,39.3,1.30,Medium,4.4,11.10,4.43,6.00,5.20,1.70,10.00,1.88,10.50,Risk,Hardworking,0.81,18.83,High,0-4,Medium AI,Struggler,1.26,Stable
aea9efb1-1954-43d1-9600-b05573df1e8a,Designer,18,1.9,0.0,32.9,3.10,Low,10.4,11.70,2.99,4.00,1.60,4.70,7.36,0.00,-14.10,Stable,Hardworking,0.00,0.00,Moderate,16-20,Low AI,Steady Worker,2.20,Stable
6f93c923-6da9-403c-9619-747e28d95c21,Marketer,4,9.0,17.0,28.8,3.20,High,7.1,11.50,3.52,4.00,4.70,1.80,10.00,1.89,4.90,Stable,Hardworking,1.10,18.89,High,0-4,Medium AI,Struggler,1.30,Stable
558e680c-cc93-44da-92cb-1aae1336408e,Analyst,13,7.8,18.3,29.7,0.70,Medium,3.3,4.90,4.64,7.00,4.50,4.30,9.30,2.35,14.30,Risk,Hardworking,1.13,25.23,High,12-16,Medium AI,Struggler,2.44,Stable
8a78b598-e56b-4ac7-b569-210354c54274,Writer,4,14.8,63.9,20.9,8.00,Medium,19.6,9.90,1.15,8.00,8.00,2.90,5.20,4.32,10.50,Growth,Efficient,20.91,83.03,Moderate,0-4,High AI,Star Performer,4.04,Monitor
91bb744b-5fbd-40cf-94fc-bfa7e63b4eae,Analyst,1,5.0,21.7,25.4,0.40,High,7.5,6.40,5.08,4.00,7.30,3.50,10.00,4.34,22.60,Risk,Hardworking,1.07,43.40,High,0-4,Medium AI,Struggler,2.79,Stable
fdcaa026-5aea-4790-becb-e2533d3b47c6,Developer,1,15.3,35.1,19.0,0.80,Medium,8.0,9.80,2.12,2.00,4.30,3.90,9.59,2.29,3.70,Risk,Hardworking,3.01,23.92,High,0-4,High AI,Toxic High Performer,2.21,Stable
27435c2b-6725-4137-a940-f9795ad6aef9,Analyst,16,7.5,24.2,13.3,4.30,High,12.5,17.80,3.21,3.00,6.50,4.70,2.08,3.23,2.20,Stable,Developing,37.98,155.13,Low,12-16,Medium AI,Struggler,5.08,Critical
1ea62f5f-c639-45cd-b98a-9ba7fb44b055,Developer,11,0.7,47.1,27.3,5.90,Medium,11.4,4.70,1.26,2.00,7.20,1.20,9.34,67.29,19.90,Growth,Efficient,4.72,720.40,High,8-12,Low AI,Toxic High Performer,27.47,Critical
5dc9c980-876f-4037-98ae-cee61e662208,Manager,2,6.0,20.8,20.7,4.00,High,12.4,10.50,1.49,1.00,4.80,3.20,10.00,3.47,1.10,Stable,Hardworking,1.77,34.67,High,0-4,Medium AI,Struggler,2.35,Stable
a08696af-f7d4-436c-a0f7-2cbc663b24f3,Analyst,14,13.7,25.1,18.1,0.70,Low,4.9,3.80,1.99,9.00,6.20,6.80,5.80,1.83,22.30,Risk,Developing,5.98,31.59,Moderate,12-16,High AI,Steady Worker,4.03,Monitor
c3401fcf-1d47-499d-8be5-f4ec7233595a,Writer,11,13.2,36.0,27.6,1.60,Medium,2.9,6.30,3.63,8.00,4.90,3.60,9.82,2.73,15.30,Risk,Hardworking,2.38,27.77,High,8-12,High AI,Toxic High Performer,2.22,Stable
59af4eac-a9d7-4eaf-852e-2bc926ee633e,Developer,5,18.5,50.0,21.4,2.50,Low,4.4,8.60,0.96,2.00,4.10,4.90,7.21,2.70,7.50,Stable,Efficient,8.69,37.49,Moderate,4-8,High AI,Star Performer,3.39,Monitor
3112d467-2371-4526-a603-1e44e759a4fa,Developer,14,4.4,15.8,21.3,7.90,High,13.6,16.90,1.80,5.00,7.80,5.20,6.19,3.59,8.50,Growth,Developing,3.38,58.01,Moderate,12-16,Low AI,Steady Worker,4.14,Monitor
bc106254-f0f2-47f3-83ab-fe9b109bd028,Others,13,16.6,73.9,28.5,2.70,Medium,18.3,6.10,4.43,3.00,3.30,7.00,8.90,4.45,-7.90,Stable,Risky,5.20,50.02,High,12-16,High AI,Toxic High Performer,4.21,Monitor
